article_id,headline,Subject,Relation,Object,Score
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,started as,one largely criticised across the political spectrum,0.75
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,predecessor,Jana Sangh,0.85
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Jana Sangh,mainstreamed by,JP movement,0.7
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,established itself as,dominant political force in the country,0.9
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,prime charge against,not secular,0.8
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,had the image of,Bania-Brahmin party,0.8
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Bania-Brahmin party,indicated,narrow social base,0.75
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,reshaped,political discourse on both counts,0.7
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Atal Bihari Vajpayee,first president of,BJP,0.95
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Atal Bihari Vajpayee,tried to counter,charge that BJP was not secular,0.85
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Atal Bihari Vajpayee,arguing that,Gandhian socialism was the party's creed,0.8
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,suffered,heavy electoral losses,0.75
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,reduced to,just two seats in the 1984 elections,0.9
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Atal Bihari Vajpayee,lost to,Madhavrao Scindia from Gwalior,0.9
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Advani era,began,BJP started to question secularism,0.8
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Rajiv Gandhi government,reversal of,Shah Bano judgment of the Supreme Court,0.95
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",Rajiv Gandhi government,reversed through,Parliamentary route,0.85
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,start questioning,Congress's secularism,0.85
ART_002,"BJP at 46: From margins to dominance, how the party reshaped secularism debate, widened social base",BJP,asserting that,Congress denied justice to a Muslim woman,0.8
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Tamilaga Vettri Kazhagam (TVK),led by,Vijay,0.9
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Tamilaga Vettri Kazhagam (TVK),entry has made,Assembly elections in Tamil Nadu multi polar,0.8
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Tamilaga Vettri Kazhagam (TVK),traction among,the youth,0.85
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Tamilaga Vettri Kazhagam (TVK),could garner,10-20% of the votes,0.7
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Tamil Nadu,electoral politics has often been a game of,relatively small margins,0.75
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,such a vote share,"if it materialises, could significantly alter",the political landscape of the state,0.8
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,2021 Assembly poll data,shows that of the 234 constituencies,"just over 200 seats are arithmetically vulnerable to shifts in the ""third front"" vote",0.7
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,seats,where the combined votes polled by smaller parties were,at least half the victory margin,0.75
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Election Commission (EC),data from,the 2021 polls,0.9
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,in the 2021 polls,there were,127 seats where the cumulative votes polled by smaller parties were greater than the victory margin,0.8
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,smaller parties,include,Naam Tamilar Katchi (NTK),0.9
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,smaller parties,include,Makkal Needhi Maiam (MNM),0.9
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,smaller parties,include,Amma Makkal Munnetra Kazhagam (AMMK),0.9
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Amma Makkal Munnetra Kazhagam (AMMK),led by,T T V Dhinakaran,0.9
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,Naam Tamilar Katchi (NTK),alone polled more votes than the victory margin in,83 constituencies,0.85
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,76 constituencies,"where the NTK, MNM, and AMMK together polled",between 50-100% of the victory margin,0.75
ART_003,The Vijay math: How TVK could upend Tamil Nadu’s bipolar politics,these seats,making,potentially close contests,0.7
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,Sobha Surendran,is trying to do,break the jinx for the BJP in the Palakkad seat,0.9
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,E Sreedharan,nearly did,break the jinx for the BJP in the Palakkad seat,0.9
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,E Sreedharan,is referred to as,Metro Man,0.95
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,BJP,missed,that race by a whisker,0.8
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,E Sreedharan,had electoral debut in,the previous election,0.9
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,E Sreedharan,sensed,local cylinders weren't firing,0.85
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,Sobha Surendran,is a,prominent woman leader of the BJP,0.95
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,BJP,is a,seasoned third party in Kerala,0.9
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,BJP,is used to match,the CPI(M) and the Congress in campaignspeak,0.85
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,Sobha Surendran,cannot play,the BJP's unique double engine card convincingly in the state,0.8
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,Sobha Surendran,tells the gathered people,PM Modi came all the way and addressed you. He will personally monitor Palakkad's progress,0.9
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,E Sreedharan,recalled,his school and college days in this old municipal town,0.85
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,E Sreedharan,recalled,his early admiration for the RSS' social service,0.85
ART_004,Film star vs key BJP face vs hotelier: How Sobha Surendran looks to outdo ‘Metro Man’ in Palakkad,Kerala,headed to,the Assembly polls on April 9,0.95
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,announced,he would camp in poll-bound West Bengal for 15 days,0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,stated,We will win seats one after another and push the number to 175 (out of total 294),0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,stated,Change (in the state) will come after that,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,stated,I will stay in West Bengal for 15 days during the elections,0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Suvendu Adhikari,is,BJP candidate from Bhabanipur,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Suvendu Adhikari,is,an arch rival of Mamata Banerjee,0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Suvendu Adhikari,had defeated,Mamata Banerjee in the last Assembly elections,0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Suvendu Adhikari,was opponent of,Mamata Banerjee from Bhabanipur,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Mamata Banerjee,is,Chief Minister,0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Mamata Banerjee,is,TMC supremo,0.9
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,will be spending nights in,key constituencies of north Bengal,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,north Bengal,has been electorally dominated by,BJP since 2019,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,is expected to spend time in,Siliguri,0.7
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,is expected to spend time in,Balurghat,0.7
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,is expected to stay in,Hooghly,0.7
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,is expected to stay in,Kharagpur,0.7
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,is expected to stay in,Durgapur,0.7
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Amit Shah,will be addressing,a public rally or do a roadshow,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,BJP,aims to win,175 seats,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,West Bengal,is described as,unconquered frontier for BJP,0.8
ART_005,Why Amit Shah is pitching tent for 15 days in Bengal,Suvendu Adhikari,ran against,Mamata Banerjee,0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Kerala,has Assembly seats,140,0.9
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Kerala Assembly seats,head to the polls,Thursday,0.9
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",voters,endorse a government,that claims to have transformed the state in its 10-year rule,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",voters,opt for a change,,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",results,will be announced on,May 4,0.9
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",results,will hinge on,multiple political and social factors,0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",ruling CPI(M)-led Left Democratic Front (LDF) government,led by,Chief Minister Pinarayi Vijayan,0.9
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",ruling CPI(M)-led Left Democratic Front (LDF) government,revolved its campaign around,development,0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Congress-led United Democratic Front (UDF) rule,between,2011 and 2016,0.9
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Congress-led United Democratic Front (UDF) rule,termed as,"a ""dark period""",0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",LDF's central election planks,have been,infrastructure growth,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",LDF's central election planks,have been,welfare measures,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",LDF's central election planks,have been,continuity,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",UDF,has sought to capitalise on,"""anti-incumbency"" sentiments",0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",a decade in power,has led to,governance fatigue,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",a decade in power,has led to,unaddressed public grievances,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",previous elections,being centered around,anti-incumbency,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",campaign this time,has seen,the Opposition also coming under scrutiny,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Congress,has come under attack from,the CPI(M),0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Congress,attacked over,its failure to construct houses for the victims of the 2024 Wayanad landslide,0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",allegations,forced,the Congress on the defensive,0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",allegations,prompting it to,disclose collected funds,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback","LDF's narrative about the UDF regime's ""dark period""",had turned the campaign into,a comparison,0.8
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback","LDF's narrative about the UDF regime's ""dark period""",had turned the campaign into,a referendum on the Vijayan government,0.7
ART_006,"Kerala contest becomes Vijayan ‘referendum’, UDF rides on ‘anti-incumbency’ for comeback",Sabarimala gold theft scandal,which,,0.6
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",Vattiyoorkavu Assembly seat,located in,Thiruvananthapuram,0.9
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",polling,scheduled for,April 9,0.95
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",K Muraleedharan,contests for,Vattiyoorkavu Assembly seat,0.9
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",K Muraleedharan,affiliated with,Congress-led United Democratic Front (UDF),0.95
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",V K Prasanth,contests for,Vattiyoorkavu Assembly seat,0.9
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",V K Prasanth,affiliated with,Left Democratic Front (LDF),0.95
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",R Sreelekha,contests for,Vattiyoorkavu Assembly seat,0.9
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",R Sreelekha,affiliated with,NDA,0.95
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",Vattiyoorkavu Assembly seat,is subject to,three-way tussle,0.85
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",contest,hinges on,fine margins,0.8
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",contest,hinges on,complex caste equations,0.8
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",contest,hinges on,voters' mood,0.8
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",contest,hinges on,voters' whims on the election day,0.8
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",Vattiyoorkavu Assembly seat,brims with,uneasy expectations,0.85
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",Thiruvananthapuram's urban landscape,includes,Vattiyoorkavu Assembly seat,0.7
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",Vattiyoorkavu Assembly seat,has,vast cross-section of people,0.8
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",people,have,floating loyalties,0.85
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",T Sasikumar,is part of,LDF entourage,0.9
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",elections here,are,unpredictable,0.8
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",popularity,of former Mayor Prasanth,remains undimmed,0.9
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",V K Prasanth,is fondly called,Mayor Bro,0.95
ART_007,"Three-way cliffhanger in Kerala capital: Congress veteran on comeback trail faces ‘Mayor bro’ test, state’s first woman IPS officer",contest,will be,stiffer than last time,0.85
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,West Bengal,names under adjudication,"60,06,675",0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,names under adjudication in West Bengal,deleted,"27,16,393",0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,names under adjudication in West Bengal,percentage deleted,45.22%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Election Commission of India (ECI),shared data,first such data,0.8
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,ECI,released,final Supplementary List,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,adjudication process,began,a month ago,0.8
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,total number of voters in Bengal,fallen to,6.77 crore,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,total number of voters in Bengal at the start of SIR exercise,was,7.66 crore,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,people,removed from voter lists,89 lakh,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,removal of people from voter lists,percentage fall,11.62%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Murshidabad district,highest number of cases under adjudication,11 lakh,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Malda,cases under adjudication,8.28 lakh,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,South 24 Parganas,cases under adjudication,5.22 lakh,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,North 24 Parganas,cases under adjudication,5 lakh,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Jhargram,fewest pending cases,"6,682",0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Kalimpong,fewest pending cases,"6,790",0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Nadia,most number of voters deleted (percentage),77.86%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Hooghly,high-deletion percentage,70.33%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Purba Bardhaman,high-deletion percentage,57.4%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,North 24 Parganas,high-deletion percentage,55.08%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Paschim Bardhaman,high-deletion percentage,53.72%,0.9
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Murshidabad district,dominated by,minority,0.8
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Nadia,dominated by,Matua,0.8
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,Hooghly,high proportion of,Muslims,0.8
ART_008,Over 27 lakh out: EC releases first data of deletions after adjudication,COOCHBEHAR,Action to be Taken,23,0.7
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",Block Development Officer (BDO),located in,Minakhan,0.9
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",North 24 Parganas,has deletion percentage,55.08%,0.9
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",North 24 Parganas,is a district in,West Bengal,0.9
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",Election Commission of India (ECI),shared list of deletions on,Tuesday morning,0.8
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",North 24 Parganas,votes in phase,second phase,0.8
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",North 24 Parganas,votes on,April 29,0.8
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",voter list,frozen on,April 9,0.8
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",women,outnumber men,4:1,0.8
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",security personnel,guard,collapsible gate,0.7
ART_009,"‘Our every fear is turning into reality’: For Bengal voters left out of rolls, a race against time outside a BDO",police,keep watch at,entrance,0.7
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",CPI(M)-led Left Democratic Front (LDF),looks to retain,Kerala bastion,0.8
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",CPI(M)-led Left Democratic Front (LDF),faces,"perceived ""anti-incumbency""",0.7
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",Congress-led United Democratic Front (UDF),eyes a return to power,after a decade,0.8
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",analysis of their candidate lists,reveals,a diverging strategy between the two major coalitions,0.7
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",Kerala,headed to,Assembly elections on April 9,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",comparison of the LDF and the UDF's candidates,shows,a diverging strategy,0.6
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",Left,has largely reposed its faith in,its sitting MLAs,0.8
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",Congress-led Opposition alliance,has sought,wholesale changes in its nominees,0.8
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",LDF,had returned to power,for a second term,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",LDF,won,99 seats,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",140-member Assembly,has,99 seats for LDF,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",UDF,remained in the Opposition,with 41 seats,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",BJP-led NDA,failed to win,any of the 138 seats it had contested,0.8
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",Chief Minister Pinarayi Vijayan-led CPI(M),is contesting,77 seats,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",CPI,is contesting,24 seats,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",LDF allies,allotted,39 seats,0.8
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",LDF,has renominated,69 sitting MLAs,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",69 sitting MLAs,includes,48 from the CPI(M),0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",69 sitting MLAs,includes,6 from the CPI,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",69 sitting MLAs,includes,15 others from their current seats,0.9
ART_010,"In Kerala, amid ‘anti-incumbency’, LDF bets big on sitting MLAs, UDF rides on new faces",These MLAs,had won in 2021,"by an average margin of 16,300 votes",0.8
